Label,axyStdDevL,axyStdDevR
1,147,1364
1,89,1313
1,109,1215
1,222,1084
1,114,1186
1,127,1088
1,142,926
1,112,865
1,127,964
1,101,1156
1,97,1111
1,106,1274
1,110,1147
1,141,1021
1,132,1066
1,145,1091
1,128,1133
1,122,1052
1,138,1048
1,133,1075
1,159,1104
1,127,1356
1,128,1060
1,144,1122
1,133,1122
1,117,1059
1,98,1097
1,81,1008
1,125,1049
1,179,1312
1,101,1111
1,124,1135
1,88,967
1,105,1108
1,127,1289
1,111,1237
1,112,1346
1,127,1186
1,105,1125
1,141,1320
1,116,1045
1,132,1183
1,130,1218
1,124,1045
1,80,1322
1,120,1161
1,109,780
1,90,1251
1,128,1048
1,87,1150
