Label,axyStdDevL,axyStdDevR
-1,135,580
-1,414,731
-1,339,723
-1,292,834
-1,260,670
-1,636,815
-1,387,799
-1,451,800
-1,547,709
-1,644,764
-1,406,720
-1,504,788
-1,391,748
-1,585,999
-1,504,797
-1,513,716
-1,245,699
-1,397,698
-1,340,717
-1,474,728
-1,354,767
-1,665,723
-1,678,713
-1,578,698
-1,508,789
-1,496,806
-1,357,682
-1,365,778
-1,330,742
-1,403,753
-1,606,744
-1,235,660
-1,538,676
-1,448,806
-1,404,731
-1,390,694
-1,302,736
-1,473,668
-1,308,749
-1,496,662
-1,295,830
-1,333,792
-1,251,804
-1,194,791
-1,347,813
-1,515,649
-1,568,673
-1,433,729
-1,234,770
-1,223,811
